,Weekday,Date,Home team,,Visiting team,,Questions,A,B,C,Answer,
,Sun,"Jun 20, 2021",Italy,VS,Wales,Q1,Who will win the game between Italy VS Wales?,Italy,Wales,Draw,A,
,,,Switzerland,VS,Turkey,Q2,Who will win the game between Switzerland VS Turkey?,Switzerland,Turkey,Draw,A,
,,,,,,Q3,How many goals will be in the match Switzerland VS Turkey?,0 or 1,2 or 3,more than 3,C,
,,,,,,Q4,Will there be own goal in the match Italy VS Wales?,Yes,No,,B,
,Mon,"Jun 21, 2021",Ukraine,VS,Austria,Q1,Who will win the game between Ukraine VS Austria?,Ukraine,Austria,Draw,B,
,,,North Macedonia,VS,Netherlands,Q2,Who will win the game between North Macedonia VS Netherlands?,North Macedonia,Netherlands,Draw,B,
,,,Finland,VS,Belgium,Q3,Who will win the game between Finland VS Belgium?,Finland,Belgium,Draw,B,
,,,Russia,VS,Denmark,Q4,Who will win the game between Russia VS Denmark?,Russia,Denmark,Draw,B,
,Tue,"Jun 22, 2021",Czech Republic,VS,England,Q1,Who will win the game between Czech Republic VS England?,Czech Republic,England,Draw,B,
,,,Croatia,VS,Scotland,Q2,Who will win the game between Croatia VS Scotland?,Croatia,Scotland,Draw,A,
,,,,,,Q3,Will there be 10 or more corner kick in the match Croatia VS Scotland?,Yes,No,,A,
,,,,,,Q4,How many goals will be in the match Czech Republic VS England?,0 or 1,2 or 3,more than 3,A,
,Wed,"Jun 23, 2021",Sweden,VS,Poland,Q1,Who will win the game between Sweden VS Poland?,Sweden,Poland,Draw,A,
,,,Slovakia,VS,Spain,Q2,Who will win the game between Slovakia VS Spain?,Slovakia,Spain,Draw,B,
,,,Germany,VS,Hungary,Q3,Who will win the game between Germany VS Hungary?,Germany,Hungary,Draw,C,
,,,Portugal,VS,France,Q4,Who will win the game between Portugal VS France?,Portugal,France,Draw,C,
